,banco,fecha,texto,src,rt,fav,palabras,country,type,place,desde,sigue_a,lo_siguen
0,bbva,2020-10-18 05:40:33,BBVA da a sus empleados el control de su formación con un sistema basado en ‘tokens’ https://t.co/QQKowZfvx1 blockchain elearning,Twitter for Android,0,0,token,,,,2009-12-02 15:10:28,270,270
1,bbva,2020-10-18 05:38:23,morbobson El de enmedio está guapísimo trabaja en BBVA me encanta verlo,Twitter for Android,0,0,,,,,2014-01-25 01:41:42,735,490
2,bbva,2020-10-18 05:37:00,cuando van a quitar todos los ambulantes de Matias Romero  entre universidad y Pitágoras es un asco dan pésimo aspecto al banco  a parte ahí se esconden delincuentes es un peligro para los clientesde Bbva y para entrar y salir del MetroCDMX STaboadaMx Tahipat vecletranvalle https://t.co/PJPku89wQl,Twitter for iPhone,1,0,"cliente,banco",,,,2012-11-07 17:00:23,439,465
3,bbva,2020-10-18 05:35:01,"El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domiciliada es menor de 800 euros. Perjudica a perfiles de trabajadores precarios y a pensionistas. Es una puta vergüenza 😡😡😡",Twitter for Android,467,0,"comision,dinero",,,,2013-11-19 17:23:53,906,316
4,bbva,2020-10-18 05:34:25,Sr lopezobrador_  el pueblo no está contento le están robando su dinero a través de fraudes en sus tarjetas de crédito SantanderMx ScotiabankMX BBVA_Mex  las más afectadas ojalá aún exista alguna instancia para atender esta otra emergencia FGRMexico,Twitter for iPhone,0,0,"tarjeta,fraude,dinero,roba",,,,2010-01-30 05:45:34,238,49
5,bbva,2020-10-18 05:33:32,BBVA_Mex ayuda,Twitter for Android,0,0,,,,,2019-07-17 05:56:19,25,1
6,bbva,2020-10-18 05:30:08,"El proyecto de educación de BBVA Aprendemosjuntos tiene el objetivo de impulsar la conversación en torno a la educación. En 2019, ganó el Gran Premio Eficacia otorgado por aeanunciantes. Más RSE en el AnuarioCorresponsables2020 👉 https://t.co/HeRpZIzI0z https://t.co/9aMtXCD7ii",Social Media Corresponsables,0,0,,,,,2009-11-06 11:11:03,6274,32598
7,bbva,2020-10-18 05:30:00,Video explícitos 🔥🔥 Pago por PayPal 💳 o en efectivo 💵 en bancos BBVA o en tiendas OXXO en México 🇲🇽 https://t.co/rXUmj4Bihr,Twitter Web App,1,3,"banco,efectivo",,,,2020-09-27 00:55:43,6,1496
9,bbva,2020-10-18 05:29:24,"LotoVerde6 Citibanamex BBVA_Mex BancoAzteca Coppel chopo_cercadeti Justo en eso estoy, acudiré a CondusefMX.",Twitter for Android,0,0,,,,,2011-03-01 23:19:00,830,796
10,bbva,2020-10-18 05:28:57,"¿Retirarías tu cuenta de ahorros del Banco Santander, BBVA y cualquier banco que financie fake news de Eduardo Inda y a la extrema derecha española? Yo sí, obvio.",Twitter for Android,8,0,"cuenta,banco",,,,2019-11-05 06:59:41,471,294
