,banco,fecha,texto,src,rt,fav,palabras,country,type,place,desde,sigue_a,lo_siguen
0,bbva,2020-10-18 03:44:24,"Hasta cuando vamos a seguir pagando el impuesto ""temporal"" del 4XMil, que se creó para salvar a los Chupasangre de los bancos como el BBVA_Colombia grupoaval ScotiaColpatria Ese impuesto hoy cumple 21 años. Y el pueblo pague, pague y pague.",Twitter for Android,0,0,"banco,impuesto",,,,2010-07-09 05:03:55,2484,2631
1,bbva,2020-10-18 03:41:06,"El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domiciliada es menor de 800 euros. Perjudica a perfiles de trabajadores precarios y a pensionistas. Es una puta vergüenza 😡😡😡",Twitter for iPhone,455,0,"comision,dinero",,,,2018-10-19 05:04:43,585,173
2,bbva,2020-10-18 03:40:22,"RaulLuna Buenas noches, estamos a tu servicio. Es importante realizar este registro facial con la finalidad de reforzar la seguridad de tu aplicación BBVA México. Te recordamos que sólo deberás conversar con esta cuenta que está verificada con palomita azul.",S1Gateway,0,0,"cuenta,servicio,servicio,seguridad",,,,2013-03-08 17:25:23,40410,106418
3,bbva,2020-10-18 03:39:48,"BBVA_Mex Asco de servicio, ahora resulta que debes registrar a fuerza tu rostro, pésimo banco",Twitter for Android,0,0,"servicio,banco,servicio",,,,2013-08-22 15:54:29,50,15
4,bbva,2020-10-18 03:37:56,paolobenza Hola Paolo soy cliente del BBVA hace 10 años solicite el prestamo reactiva y esto me respondieron https://t.co/9oRUQeDPyo,Twitter for Android,0,0,cliente,,,,2014-04-04 01:39:20,741,50
5,bbva,2020-10-18 03:37:48,⏰ 72’ minutos de acción del CruzAzul vs Tigres  Gol anulado a la máquina por un fuera de lugar   🔵⚪️0️⃣🆚1️⃣🟠🔵  📻 730 AM   📲 https://t.co/hMClvZ0r3I  Guard1anes2020xW LaVozDelFutbol,Twitter for iPhone,0,2,,,,,2015-06-03 22:32:22,398,22189
6,bbva,2020-10-18 03:31:44,(Video) Esto te ayudará: revelan llamada con el modo de operación para estafar a cuentahabientes de BBVA Bancomer (nota de José Rosario Valles) https://t.co/PeFKLmJzhD,Twitter for Android,58,0,"cuenta,llamada",,,,2010-01-17 23:42:26,714,414
7,bbva,2020-10-18 03:28:11,"Decorceramica tiene convenios de descuento con el bbva justo después cuando acabamos el apartamento, POR QUE SON ASÍ, QUE COSTABA SACARLOS HACE DOS MESES, uno comprando los pisos bien caros allá 😭",Twitter for Android,0,0,descuento,,,,2011-11-05 01:22:01,1239,1246
8,bbva,2020-10-18 03:27:08,"BBVA_Mex  tarjeta de credito VIVE, no pasa los puntos en suburbia (hay promocion de puntos dobles) intente en 3 establecimientos. No tengo ninguna restricción en la tarjeta, es como tal todas las tarjetas VIVE. Moda_Suburbia  se echan la bolita que es uno u otro.",Twitter for Android,0,0,"tarjeta,puntos,credito",,,,2011-10-10 07:06:22,12,0
9,bbva,2020-10-18 03:24:03,SantanderMx BBVA_Mex quintopodermex julioastillero No veo nada que tenga que ver al respecto quien es su CM Brozzo el caso es que SantanderMx es uno de los peores bancos y desde dentro están los pillos,Twitter for Android,0,0,banco,,,,2009-09-06 03:31:22,12390,14094
10,bbva,2020-10-18 03:24:02,"Creo que Banamex, BBVA y Banco Azteca ya no sirven...LIC GEREG",Twitter for Android,0,0,,,,,2019-12-29 00:13:13,10,0
11,bbva,2020-10-18 03:24:01,⏰ 60’ minutos de acción del CruzAzul vs Tigres  🔵⚪️0️⃣🆚0️⃣🟠🔵  📻 730 AM   📲 https://t.co/hMClvZ0r3I  Guard1anes2020xW LaVozDelFutbol,Twitter for iPhone,0,1,,,,,2015-06-03 22:32:22,398,22189
12,bbva,2020-10-18 03:19:46,⏰ 55’ minutos de acción del CruzAzul vs Tigres  ❌El “Cabecita” Rodríguez Falla el Penal   🔵⚪️0️⃣🆚0️⃣🟠🔵  📻 730 AM   📲 https://t.co/hMClvZ0r3I  Guard1anes2020xW LaVozDelFutbol,Twitter for iPhone,0,1,,,,,2015-06-03 22:32:22,398,22189
14,bbva,2020-10-18 03:17:02,jiica SinEmbargoMX SantanderMx BBVA_Mex quintopodermex Los de Santander últimamente son unas asquerosas ratas,Twitter for Android,1,0,,,,,2009-09-06 03:31:22,12390,14094
15,bbva,2020-10-18 03:16:22,Tuitero_Rayado El estadio BBVA a ver a Rayados,Twitter for Android,0,4,,,,,2018-11-15 19:06:59,222,354
16,bbva,2020-10-18 03:14:24,📹 ElResumen Revive lo mejor del partido en el Estadio BBVA entre Monterrey y Puebla.   Rayados se llevó la victoria 3 goles a 1 en su compromiso de la Jornada14.  Guard1anes2020 ⚽ LigaBBVAMX https://t.co/zd7rn5kRIu,Twitter for iPhone,14,0,,,,,2014-05-24 04:29:20,930,1093
17,bbva,2020-10-18 03:13:47,"¡En BBVA Provincial estamos de aniversario! Cumplimos 67 años,  celebramos que seguimos apostando y creando oportunidades para todos…  MesdeAniversario AniversarioBBVAProvincial 67añosBBVAProvincial Venezuela QuedateEnCasa https://t.co/5wb2aguua9",Twitter Web App,3,0,,,,,2014-02-24 15:41:50,517,16
18,bbva,2020-10-18 03:12:13,LaClavijo_ bbva davidbarguil ma_camiladiaz JuanPabloCalvas AntonioSanguino MafeCarrascal A mi me pasó algo similar con SantanderMx y con invextarjetas...  ¿A quién podemos acudir?  CondusefMX Profeco AtencionProfeco,Twitter for Android,0,0,tarjeta,,,,2010-09-29 01:23:04,685,648
20,bbva,2020-10-18 03:09:30,"💬| “Seguir creciendo, seguir creyendo”, rogelio7funes   ComentarioRayado BBVA_Mex  ArribaElMonterrey 💙⚪️ https://t.co/g2YrOVq4Xd",Twitter for Android,32,0,,,,,2016-03-31 04:06:03,60,36
21,bbva,2020-10-18 03:09:22,¡ Suena el silbato! comienza la segunda mitad entre CruzAzul y Tigres  🔵⚪️0️⃣🆚0️⃣🟠🔵  📻 730 AM   📲 https://t.co/hMClvZ0r3I  Guard1anes2020xW LaVozDelFutbol,Twitter for iPhone,0,2,,,,,2015-06-03 22:32:22,398,22189
25,bbva,2020-10-18 03:07:30,Si eres cuentahabiente de Santander o BBVA cuidado con esto (por QuintoPoder) https://t.co/qBqopW78MA vía julioastillero,Twitter for Android,20,0,cuenta,,,,2012-04-21 18:00:56,175612,171996
26,bbva,2020-10-18 03:05:19,BBVA_Mex ¿hay fallas con la app?,Twitter for Android,0,0,app,,,,2015-12-26 22:51:07,221,15
27,bbva,2020-10-18 03:05:10,Guard1anes2020 | Rayados ya arribó a las instalaciones del BBVA para su duelo ante Puebla. Llegó en solo un autobús. 👇  📹: Karinaggz ➡️ https://t.co/PlEIAlKe7z  SomosONCE https://t.co/KmtXFYI8RE,Twitter for Android,2,0,,,,,2010-01-26 22:32:59,1219,729
