,banco,fecha,texto,src,rt,fav,palabras,country,type,place,desde,sigue_a,lo_siguen
0,bbva,2020-10-18 06:57:27,"Así es la primera tarjeta bancaria española con CVV cambiante, sin numeración y sin fecha de caducidad.  Cada vez que el cliente quiera realizar una compra con la tarjeta Aqua de BBVA deberá acceder a la app y consultar el número de la tarjeta, el CVV y la fecha de caducidad. https://t.co/OIj4ZNyQYx",Twitter for Android,4,0,"tarjeta,cliente,app,cambia",,,,2015-01-13 19:27:54,169,90
4,bbva,2020-10-18 06:52:12,"En una oficina del BBVA, donde cumplen medidas de seguridad Covid, me entregaron en la entrada ésto👇 Sin capacidad de reacción miré al empleado... y con una sonrisa me explicó que era para ponérselo en el dedo.. para  teclear en el cajero automático.😂😂😂😂😂 https://t.co/wEa0r1n8vf",Twitter for Android,2,0,seguridad,,,,2010-07-23 07:15:53,1426,1281
6,bbva,2020-10-18 06:48:31,"El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domiciliada es menor de 800 euros. Perjudica a perfiles de trabajadores precarios y a pensionistas. Es una puta vergüenza 😡😡😡",Twitter for Android,483,0,"comision,dinero",,,,2012-04-25 22:41:55,927,247
8,bbva,2020-10-18 06:46:06,BBVA_Colombia A ver si es verdad que después de más 2 dos semanas no estáis haciendo  NADA!!!!,Twitter for Android,0,0,,,,,2016-02-04 10:54:44,1599,1824
9,bbva,2020-10-18 06:45:38,"31. 'lobbista', Matías Cortes, amigo personal del editor Jesús Polanco y uno de los ideólogos del intento de la constructora Sacyr de apoderarse del control del BBVA.",Twitter for Android,24,0,,,,,2016-06-13 07:43:41,4989,3005
11,bbva,2020-10-18 06:44:18,"Hoy la meta es llegar a $200,00 pesos nos faltan $79,475.00 pesos !! Todos los pedacitos de ❤️ salvarán muchas vidas de niños con cáncer  BBVA Bancomer Cuenta: 0110098078 Clabe: 012320001100980784 Campeones de la vida NR AC https://t.co/CPVgQdmVvU",Twitter for Android,52,0,,,,,2020-01-20 02:52:00,317,315
12,bbva,2020-10-18 06:42:50,📹 ElResumen Revive lo mejor del partido en el Estadio BBVA entre Monterrey y Puebla.   Rayados se llevó la victoria 3 goles a 1 en su compromiso de la Jornada14.  Guard1anes2020 ⚽ LigaBBVAMX https://t.co/zd7rn5kRIu,Twitter for iPhone,15,0,,,,,2012-03-28 01:24:20,647,3288
15,bbva,2020-10-18 06:34:05,"Gracias a ti podemos seguir haciendo más acciones humanitarias. Dona a Cruz Roja Mexicana, Delegación Guaymas BBVA Bancomer 0112219174 Clabe interbancaria 012770001122191745 https://t.co/3IDEaSzjGf",Twitter for Android,0,0,,,,,2010-06-17 06:23:31,2032,1089
16,bbva,2020-10-18 06:33:13,(Video) Esto te ayudará: revelan llamada con el modo de operación para estafar a cuentahabientes de BBVA Bancomer (nota de José Rosario Valles) https://t.co/PeFKLmJzhD,Twitter for Android,81,0,"cuenta,llamada",,,,2012-03-26 02:58:19,533,539
18,bbva,2020-10-18 06:31:40,"Tabla general de La Liga BBVA Mx Femenil, tras finalizar la fecha 11, en donde Cruz Azul femenil se ubica en el Décimo tercer lugar con 9 puntos. ZonadeCruzAzul  CruzAzulFemenil   UnaFormadeVida ConTodoContraTodo LigaBBVAMxFemenil  Guard1anes2020 https://t.co/XMGzPPjvGt",Twitter for Android,0,0,puntos,,,,2017-02-25 05:45:04,425,52
20,bbva,2020-10-18 06:27:21,"Ya no los quiero, bbva ya me hicieron enojar o DÍGANME QUE HAGO????????",Twitter for Android,0,0,,,,,2020-04-05 16:47:38,66,38
21,bbva,2020-10-18 06:27:18,"VicenteVaro TardeLoQueTarde Del BBVA, vajilla,albonoz y ollas...era divertido meter y sacar dinero para ir consiguiendo regalitos.... Antes los bancos están rentables y se notaba 🤪",Twitter for Android,0,0,"banco,dinero",,,,2019-07-27 11:22:28,206,82
24,bbva,2020-10-18 06:24:16,"paolobenza Si reactiva lo financia el gobierno y lo garantiza el gobierno, aún no entiendo porque le dio el poder a los bancos, quienes dirigieron los créditos a su antojo. bbva_peru y CajaArequipa nos pasearon cada uno en su momento",Twitter Web App,2,0,banco,,,,2011-06-16 02:52:39,1272,418
25,bbva,2020-10-18 06:24:13,Xaguzar2 Lo que es una vergüenza es que siga habiendo gente humilde con cuentas en el BBVA. Se piensan que están obligados o que????,Twitter for iPhone,0,0,cuenta,,,,2019-11-05 05:23:51,155,42
26,bbva,2020-10-18 06:24:08,paolobenza Hola Paolo soy cliente del BBVA hace 10 años solicite el prestamo reactiva y esto me respondieron https://t.co/9oRUQeDPyo,Twitter Web App,1,0,cliente,,,,2011-06-16 02:52:39,1272,418
27,bbva,2020-10-18 06:22:13,"paolobenza BBVA y BCP me denegaron Reactiva Perú con la única explicación de que ""no califico"" (lo real era que reservaban fondos para sus propias empresas cruzando entre bancos y hacer el avión a la norma). Luego, Interbank, sí me atendió.",Twitter Web App,3,0,banco,,,,2011-06-16 02:52:39,1272,418
28,bbva,2020-10-18 06:21:54,Así quede cuando hace unos días defendía a BBVA y hoy NO ME DEJA ENTRAR A MI BANCA xq disque mi cara es incorrecta no mameeeeen y me URGE entrar 😠😠😠,Twitter for Android,0,0,,,,,2020-04-05 16:47:38,66,38
