,banco,fecha,texto,src,rt,fav,palabras,country,type,place,desde,sigue_a,lo_siguen
52,BancoAzteca,2020-10-17 19:59:24,"BancoAzteca No, no sabíamos ni la existencia de este crédito, llamé al número del que nos marcaron y la persona que me contestó se portó muy déspota, incluso me colgó, me dejó hablando.",Twitter for Android,0,0,,,,,2009-11-18 02:14:50,1001,5135
53,BancoAzteca,2020-10-17 19:52:35,RicardoBSalinas yoanisanchez Apoyando a BancoAzteca!! El único lugar que nos ofrece plata Libertad!!,Twitter for iPhone,0,1,ofrece,,,,2010-01-22 19:25:22,537,124
54,BancoAzteca,2020-10-17 19:51:35,BancoAzteca sucursal calzada se la viga casi eaq con cll del recreo nadie atiende caja. 20 min sola,Twitter for Android,0,0,sucursal,,,,2012-05-18 19:25:10,83,21
56,BancoAzteca,2020-10-17 19:46:45,"Tamara_Vargas Buenas tardes, Tamara. Comprendemos la situación que nos mencionas, ¿nos puedes indicar si ya acudiste a la sucursal para notificar lo sucedido? Ya que se tiene que verificar a detalle el tipo de crédito contratado.",S1Gateway,0,0,sucursal,,,,2010-09-06 15:09:31,2987,26722
57,BancoAzteca,2020-10-17 19:39:09,"Buena tarde BancoAzteca nos están llamando amenazando con embargar en nuestro domicilio, la cuenta era de mi hermano que lamentablemente falleció en mayo.  Qué podemos hacer?",Twitter for Android,0,0,cuenta,,,,2009-11-18 02:14:50,1001,5135
60,BancoAzteca,2020-10-17 19:27:21,"QuirinoOC MazatlanFC BancoAzteca RicardoBSalinas Que bien que se abra la economía, también se debería abrir paso a la congruencia no eliminando los apoyos a Ciencia y Tecnología respetando las reglas que siempre han cumplido los Científicos e Investigadores así como niños y jóvenes !!",Twitter Web App,0,0,,,,,2019-04-02 03:47:33,235,54
61,BancoAzteca,2020-10-17 19:15:36,"atlasfc BancoAzteca Hoy no hay excusas,  hay que ganar, cuidado con los errores infantiles y al querer salir jugando, también alerta al inicio y fin de cada tiempo,  estos putos ratonean y el arbitraje siempre les ayuda. No hay mañana,  hoy tenemos que ganar! !!",Twitter Web App,0,0,,,,,2009-11-10 01:42:19,56,29
62,BancoAzteca,2020-10-17 19:03:32,"lucybealva Con gusto podemos validar a detalle la información brindada en sucursal, para ello requerimos de algunos datos de carácter personal. ¿Nos puedes contactar vía DM?",S1Gateway,0,0,sucursal,,,,2010-09-06 15:09:31,2987,26722
65,BancoAzteca,2020-10-17 18:18:56,"BancoAzteca A Caray y porque me estaban cobrando un 10% en su sucursal plaza Candiles, Qro, Qro. para mi es un robo.",Twitter for iPhone,0,0,"sucursal,robo",MX,city,"Corregidora, Querétaro Arteaga",2011-09-26 16:46:50,995,213
66,BancoAzteca,2020-10-17 18:16:34,"RieseAbinadab EdgarBejarano12 QuirinoOC MazatlanFC BancoAzteca RicardoBSalinas Estoy de acuerdo, y si acaso, te pone like.",Twitter for Android,0,0,,,,,2010-04-24 02:55:21,46,13
68,BancoAzteca,2020-10-17 18:14:27,"lucybealva Hola Lucy, buenas tardes. Te comentamos que existe una comisión por depósito del 5% aproximadamente si te hacen un depósito fuera de tu región, en caso de transferencias no se cobra extra.",S1Gateway,0,0,transferencia,,,,2010-09-06 15:09:31,2987,26722
69,BancoAzteca,2020-10-17 18:09:26,"BancoAzteca El 14 de oct nos llamó Andrés Coronel, creo no. de folio y nos dio un teléfono para seguimiento, que llamaríamos viernes o sábado, el tel no existe, hoy acudimos a la suc 9698 y ya habían cancelado la cta de ahorro y no sabía el gte por que, nos están tomando el pelo",Twitter for Android,0,0,,,,,2019-11-21 16:01:20,29,0
