,fecha,texto,src,rt,fav
26,2020-10-17 03:51:31,Que bueno que @SinEmbargoMX respaldo esta información de los fraudes de @SantanderMx y @BBVA_Mex actualmente la publicación de @quintopodermex no está disponible https://t.co/obtbbKY9XH,Twitter for Android,0,0
27,2020-10-17 03:51:04,Si eres cuentahabiente de Santander o BBVA cuidado con esto (por QuintoPoder) https://t.co/qBqopW78MA vía @julioastillero,Twitter for iPhone,16,0
28,2020-10-17 03:50:14,"@LetyrudaLeticia Agradecemos la información que nos compartes, te confirmamos que la llamada no pertenece a nosotros, en nuestra Línea BBVA no realizamos llamadas de salida solo recibimos. (1)",S1Gateway,0,0
29,2020-10-17 03:50:01,Si eres cuentahabiente de @SantanderMx o @BBVA_Mex cuidado con esto @quintopodermex https://t.co/pNuo1jQ4dM vía @julioastillero,Twitter for Android,2,2
30,2020-10-17 03:49:33,"BBVA lanza Aqua, su 1ª tarjeta q no tiene impreso el número de la tarjeta ni la fecha de caducidad y el CVV es dinámico(Solo tiene impreso el nombre del cliente.)
reforzaran la seguridad al usar la tarjeta para hacer compras, ahora tendrás que acceder a la app. https://t.co/YLrpXqrCsj",Twitter for Android,82,0
31,2020-10-17 03:48:06,"@BBVA_Mex (\_/)
( •_•)
/ &gt; 🛒 📷

Copia y pega, pero cambia lo que sostiene el conejito por lo que te comprarás con tus Puntos BBVA.🔵✨",Twitter for iPhone,0,0
32,2020-10-17 03:47:41,@BBVA_Mex en línea bbva me dicen que mi cuenta fue bloquéada como los puedo contactar ?,Twitter for iPhone,0,0
33,2020-10-17 03:47:35,Si eres cuentahabiente de Santander o BBVA cuidado con esto (por QuintoPoder) https://t.co/JvS3N2may1 a través de @julioastillero,Twitter for iPhone,63,0
34,2020-10-17 03:46:41,Si eres cuentahabiente de Santander o BBVA cuidado con esto (por QuintoPoder) https://t.co/JvS3N2may1 a través de @julioastillero,Twitter for Android,63,0
35,2020-10-17 03:46:33,Aparentemente con BBVA Go se pueden activar pagos de nfc con el celu contra la tarjeta que vos elijas.,Twitter Web App,1,0
36,2020-10-17 03:46:05,"@BBVA_Mex Cómo que otros bancos les están ganando terreno, y estoy por cambiarme en 3, 2...",Twitter for Android,0,0
37,2020-10-17 03:46:01,"El banco @bbva lanzó una nueva tarjeta que ha causado sensación por su diseño 😱 Te contamos todos los detalles 💳  
  https://t.co/Oum40O4sIm",Twitter for Android,1,0
38,2020-10-17 03:45:22,@BBVA_Mex llevo casi una hora tratando de pagar un servicio y no paso de ese mensaje. https://t.co/COFE8GQkAM,Twitter for iPhone,0,0
39,2020-10-17 03:44:47,Si eres cuentahabiente de Santander o BBVA cuidado con esto (por QuintoPoder) https://t.co/JvS3N2may1 a través de @julioastillero,Twitter for Android,63,0
40,2020-10-17 03:44:20,Entre que @Apple y @BBVA_Mex  no se ponen de acuerdo!! Por lo mientras no me puedo comprar mi iPad Air.....VLV,Twitter for iPhone,0,0
41,2020-10-17 03:43:53,"🤣🤣😂😂🤣🤣😂😂🤣🤣😂😂🤣🤣😂 Periodismo serio... patrocinado por Banco Santander, BBVA, el Pais, etc etc. Isabel Gemio: “Ahora más que nunca es necesario el periodismo serio y riguroso, con respeto a las víctimas” https://t.co/vabkVtFOJ6",Twitter for Android,14,0
42,2020-10-17 03:42:13,"🤣🤣😂😂🤣🤣😂😂🤣🤣😂😂🤣🤣😂 Periodismo serio... patrocinado por Banco Santander, BBVA, el Pais, etc etc. Isabel Gemio: “Ahora más que nunca es necesario el periodismo serio y riguroso, con respeto a las víctimas” https://t.co/vabkVtFOJ6",Twitter Web App,14,0
43,2020-10-17 03:39:00,Si eres cuentahabiente de Santander o BBVA cuidado con esto (por QuintoPoder) https://t.co/JvS3N2may1 a través de @julioastillero,Twitter for Android,63,0
44,2020-10-17 03:37:27,"🤣🤣😂😂🤣🤣😂😂🤣🤣😂😂🤣🤣😂 Periodismo serio... patrocinado por Banco Santander, BBVA, el Pais, etc etc. Isabel Gemio: “Ahora más que nunca es necesario el periodismo serio y riguroso, con respeto a las víctimas” https://t.co/vabkVtFOJ6",Twitter Web App,14,0
45,2020-10-17 03:37:25,@BBVA_Mex Cuidado!!!!!,Twitter for Android,0,0
46,2020-10-17 03:36:57,"Aprovecho que BBVA es tendencia para decirles cuanto amo su tarjeta digital, su app y su diseño. 🥰",Twitter for iPhone,2,0
47,2020-10-17 03:36:22,"El Segundo Round es por los niños de Puebla 
Meta: $450,0000 
Con lo recaudado se donará medicamento para los niños que  se atienden en el Hospital para el niño poblano.
Dona en : 0110098078 BBVA 
Clabe: 012320001100980784
Campeones de la vida NR AC 
Gracias #milagro https://t.co/U2IQob0ksF",Twitter for iPhone,2505,0
48,2020-10-17 03:34:36,Si eres cuentahabiente de Santander o BBVA cuidado con esto (por QuintoPoder) https://t.co/JvS3N2may1 a través de @julioastillero,Twitter for iPhone,63,0
49,2020-10-17 03:32:29,"Pago una docena de chorizos a quien me de un teléfono y me atienda de una el reputo BBVA con todos sus toquen, numerales y 0800 diseñados por un sovietico hdp",Twitter Web App,260,0
50,2020-10-17 03:31:34,"Primera emisión de deuda de un bono social de genero de FIRA!
Con el fin de impulsar la autonomía económica de las mujeres se realizó la emisión del primer bono social de género en México!! @BBVA_Mex",Twitter for iPhone,0,0
